rank_text,rank_href,rank,name_text,name_href,models
Navigational DBMS,https://db-engines.com/en/ranking/navigational+dbms,1,IMS,https://db-engines.com/en/system/IMS,Navigational
Navigational DBMS,https://db-engines.com/en/ranking/navigational+dbms,2,IDMS,https://db-engines.com/en/system/IDMS,Navigational
Content stores,https://db-engines.com/en/ranking/content+store,1,Jackrabbit,https://db-engines.com/en/system/Jackrabbit,Content
Content stores,https://db-engines.com/en/ranking/content+store,2,ModeShape,https://db-engines.com/en/system/ModeShape,Content
Complete ranking,https://db-engines.com/en/ranking,1,Oracle ,https://db-engines.com/en/system/Oracle,Relational DBMS|Document store|Graph DBMS|RDF store
Complete ranking,https://db-engines.com/en/ranking,2,MySQL ,https://db-engines.com/en/system/MySQL,Relational DBMS|Document store
Complete ranking,https://db-engines.com/en/ranking,3,Microsoft SQL Server ,https://db-engines.com/en/system/Microsoft+SQL+Server,Relational DBMS|Document store|Graph DBMS
Complete ranking,https://db-engines.com/en/ranking,4,PostgreSQL ,https://db-engines.com/en/system/PostgreSQL,Relational DBMS|Document store
Complete ranking,https://db-engines.com/en/ranking,5,MongoDB ,https://db-engines.com/en/system/MongoDB,Document
Complete ranking,https://db-engines.com/en/ranking,6,IBM Db2 ,https://db-engines.com/en/system/IBM+Db2,Relational DBMS|Document store|RDF store
Complete ranking,https://db-engines.com/en/ranking,7,Redis ,https://db-engines.com/en/system/Redis,Key-value store|Document store|Graph DBMS|Search engine|Time Series DBMS
Complete ranking,https://db-engines.com/en/ranking,8,Elasticsearch ,https://db-engines.com/en/system/Elasticsearch,Search engine|Document store
Complete ranking,https://db-engines.com/en/ranking,9,Microsoft Access,https://db-engines.com/en/system/Microsoft+Access,Relational
Complete ranking,https://db-engines.com/en/ranking,10,SQLite ,https://db-engines.com/en/system/SQLite,Relational
Complete ranking,https://db-engines.com/en/ranking,11,Cassandra ,https://db-engines.com/en/system/Cassandra,Wide column
Complete ranking,https://db-engines.com/en/ranking,12,MariaDB ,https://db-engines.com/en/system/MariaDB,Relational DBMS|Document store|Graph DBMS
Complete ranking,https://db-engines.com/en/ranking,13,Splunk,https://db-engines.com/en/system/Splunk,Search engine
Complete ranking,https://db-engines.com/en/ranking,14,Teradata ,https://db-engines.com/en/system/Teradata,Relational
Complete ranking,https://db-engines.com/en/ranking,15,Hive ,https://db-engines.com/en/system/Hive,Relational
Complete ranking,https://db-engines.com/en/ranking,16,Solr,https://db-engines.com/en/system/Solr,Search engine
Complete ranking,https://db-engines.com/en/ranking,17,HBase,https://db-engines.com/en/system/HBase,Wide column
Complete ranking,https://db-engines.com/en/ranking,18,FileMaker,https://db-engines.com/en/system/FileMaker,Relational
Complete ranking,https://db-engines.com/en/ranking,19,Amazon DynamoDB ,https://db-engines.com/en/system/Amazon+DynamoDB,Document store|Key-value store
Complete ranking,https://db-engines.com/en/ranking,20,SAP Adaptive Server,https://db-engines.com/en/system/SAP+Adaptive+Server,Relational
Complete ranking,https://db-engines.com/en/ranking,21,SAP HANA ,https://db-engines.com/en/system/SAP+HANA,Relational DBMS|Document store|Graph DBMS
Complete ranking,https://db-engines.com/en/ranking,22,Neo4j ,https://db-engines.com/en/system/Neo4j,Graph
Complete ranking,https://db-engines.com/en/ranking,23,Couchbase ,https://db-engines.com/en/system/Couchbase,Document
Complete ranking,https://db-engines.com/en/ranking,24,Microsoft Azure SQL Database,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,Relational DBMS|Document store|Graph DBMS
